,station,sensor_type,value,data_flag,units,date,month,year,name,Latitude,Longitude,River_Basin,HR_NAME,capacity
162,HVS,STORAGE,598400,,AF,1998-01-01,1.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
163,HVS,STORAGE,547800,,AF,1998-02-01,2.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
164,HVS,STORAGE,574300,,AF,1998-03-01,3.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
165,HVS,STORAGE,542000,,AF,1998-04-01,4.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
166,HVS,STORAGE,581400,,AF,1998-05-01,5.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
167,HVS,STORAGE,615600, ,AF,1998-06-01,6.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
168,HVS,STORAGE,556000, ,AF,1998-07-01,7.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
169,HVS,STORAGE,---, ,AF,1998-08-01,8.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
170,HVS,STORAGE,588900, ,AF,1998-09-01,9.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
171,HVS,STORAGE,565300, ,AF,1998-10-01,10.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
172,HVS,STORAGE,535700, ,AF,1998-11-01,11.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
173,HVS,STORAGE,566800, ,AF,1998-12-01,12.0,1998.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
174,HVS,STORAGE,607300, ,AF,1999-01-01,1.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
175,HVS,STORAGE,533700, ,AF,1999-02-01,2.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
176,HVS,STORAGE,521300, ,AF,1999-03-01,3.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
177,HVS,STORAGE,541000, ,AF,1999-04-01,4.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
178,HVS,STORAGE,583100, ,AF,1999-05-01,5.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
179,HVS,STORAGE,600500, ,AF,1999-06-01,6.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
180,HVS,STORAGE,600500, ,AF,1999-07-01,7.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
181,HVS,STORAGE,587100, ,AF,1999-08-01,8.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
182,HVS,STORAGE,604700, ,AF,1999-09-01,9.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
183,HVS,STORAGE,584400, ,AF,1999-10-01,10.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
184,HVS,STORAGE,556400, ,AF,1999-11-01,11.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
185,HVS,STORAGE,552700, ,AF,1999-12-01,12.0,1999.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
186,HVS,STORAGE,546400, ,AF,2000-01-01,1.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
187,HVS,STORAGE,552600, ,AF,2000-02-01,2.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
188,HVS,STORAGE,538300, ,AF,2000-03-01,3.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
189,HVS,STORAGE,535000, ,AF,2000-04-01,4.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
190,HVS,STORAGE,575700, ,AF,2000-05-01,5.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
191,HVS,STORAGE,593100, ,AF,2000-06-01,6.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
192,HVS,STORAGE,593000, ,AF,2000-07-01,7.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
193,HVS,STORAGE,576100, ,AF,2000-08-01,8.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
194,HVS,STORAGE,595200, ,AF,2000-09-01,9.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
195,HVS,STORAGE,565900, ,AF,2000-10-01,10.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
196,HVS,STORAGE,587000, ,AF,2000-11-01,11.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
197,HVS,STORAGE,541500, ,AF,2000-12-01,12.0,2000.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
198,HVS,STORAGE,547400, ,AF,2001-01-01,1.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
199,HVS,STORAGE,556400, ,AF,2001-02-01,2.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
200,HVS,STORAGE,593000, ,AF,2001-03-01,3.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
201,HVS,STORAGE,584900, ,AF,2001-04-01,4.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
202,HVS,STORAGE,594000, ,AF,2001-05-01,5.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
203,HVS,STORAGE,573200, ,AF,2001-06-01,6.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
204,HVS,STORAGE,590400, ,AF,2001-07-01,7.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
205,HVS,STORAGE,576200, ,AF,2001-08-01,8.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
206,HVS,STORAGE,581600, ,AF,2001-09-01,9.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
207,HVS,STORAGE,567300, ,AF,2001-10-01,10.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
208,HVS,STORAGE,569900, ,AF,2001-11-01,11.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
209,HVS,STORAGE,549200, ,AF,2001-12-01,12.0,2001.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
210,HVS,STORAGE,551900, ,AF,2002-01-01,1.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
211,HVS,STORAGE,549600, ,AF,2002-02-01,2.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
