,date,reservoir_storage,res_percentile,total_storage,capacity,reporting,value_period,month,day,export_basin,SWDI,SWC,snow_pctl
128,2001-09-30,15690322.0,0.3666666666666667,15698607.980706347,29776839.0,1.0,15698607.980706347,9,30,delta_basin,0.3666666666666667,,0.5
129,2001-10-31,14842195.0,0.3666666666666667,14852239.882135492,29776839.0,1.0,14852239.882135492,10,31,delta_basin,0.3666666666666667,2206.7930631409686,0.5
130,2001-11-30,13967732.0,0.3,14459357.801086195,29463839.0,1.0,14459357.801086195,11,30,delta_basin,0.33333333333333337,335789.2618728223,0.46666666666666673
131,2001-12-31,14542616.0,0.33333333333333337,18523568.595318705,29776839.0,1.0,18523568.595318705,12,31,delta_basin,0.5333333333333333,3973272.7124204547,0.9666666666666668
132,2002-01-31,17114640.0,0.43333333333333335,22817000.862525836,29776839.0,1.0,22817000.862525836,1,31,delta_basin,0.5666666666666668,5693322.706595315,0.7666666666666667
133,2002-02-28,19569598.0,0.4,26267177.9361476,29776839.0,1.0,26267177.9361476,2,28,delta_basin,0.5666666666666668,6687245.329154896,0.5666666666666668
134,2002-03-31,20801203.0,0.5666666666666668,28684850.41256678,29776839.0,1.0,28684850.41256678,3,31,delta_basin,0.5666666666666668,7872662.401122989,0.46666666666666673
135,2002-04-30,22234078.0,0.46666666666666673,27599893.115885742,29776839.0,1.0,27599893.115885742,4,30,delta_basin,0.46666666666666673,5354073.4103088025,0.4
136,2002-05-31,23263399.0,0.46666666666666673,25137183.497578807,29776839.0,1.0,25137183.497578807,5,31,delta_basin,0.46666666666666673,1861499.2127211727,0.5333333333333333
137,2002-06-30,23100347.0,0.46666666666666673,23145687.75744829,29776839.0,1.0,23145687.75744829,6,30,delta_basin,0.46666666666666673,33141.5795377335,0.5
138,2002-07-31,21011945.0,0.43333333333333335,21023041.303241756,29776839.0,1.0,21023041.303241756,7,31,delta_basin,0.43333333333333335,,0.5
139,2002-08-31,18241192.0,0.43333333333333335,18250825.08241684,29776839.0,1.0,18250825.08241684,8,31,delta_basin,0.43333333333333335,,0.5
140,2002-09-30,16443679.0,0.43333333333333335,16452362.824776532,29776839.0,1.0,16452362.824776532,9,30,delta_basin,0.43333333333333335,,0.5
141,2002-10-31,15375811.0,0.43333333333333335,15386770.324630558,29776839.0,1.0,15386770.324630558,10,31,delta_basin,0.4,2839.435612955509,0.5
142,2002-11-30,14414555.0,0.3666666666666667,15054166.339902023,29776839.0,1.0,15054166.339902023,11,30,delta_basin,0.4,631999.0853784665,0.7666666666666667
143,2002-12-31,14545461.0,0.3666666666666667,16837397.146727975,29776839.0,1.0,16837397.146727975,12,31,delta_basin,0.3666666666666667,2284254.761399433,0.7000000000000001
144,2003-01-31,17386631.0,0.46666666666666673,22824048.54951227,29776839.0,1.0,22824048.54951227,1,31,delta_basin,0.6,5428235.756492705,0.7333333333333334
145,2003-02-28,19739555.0,0.5,25205839.82520564,29776839.0,1.0,25205839.82520564,2,28,delta_basin,0.5,5455860.464769834,0.43333333333333335
146,2003-03-31,20601025.0,0.5333333333333333,26464115.497994125,29776839.0,1.0,26464115.497994125,3,31,delta_basin,0.4,5852211.199552642,0.3666666666666667
